"id","addr","title","url","overview","price","paytype","agent","loc_1","loc_2","loc_3","time","desc"
"http://bj.58.com/zufang/19400790073857x.shtml","郝庄家园东区  
                            	","拎包即住的好房子,业主自住房(个人) ","http://bj.58.com/zufang/19400790073857x.shtml","1室__1厅__1卫__30㎡__普通住宅__精装修__朝向南北__7层/7层","600","　押一付三","这是经过人工审核认证的房源，100%个人出租，真实待租。","昌平","郝庄家园东区",NA,"2014-09-24","我是房东，我家房子是精巧的两居室， 南北通透，空气流通，阳光充足。家具家电齐全。精致装修，温馨周到，优质楼层，更安宁，更清净！希望我的房子能给你家的感觉，也希望你像我一样爱惜它！"
"http://bj.58.com/zufang/19342332536841x.shtml","广渠门外大街17-6-102  
                            	","豪华装修,家电齐全,结婚新房,南北通透(个人)(个人) ","http://bj.58.com/zufang/19342332536841x.shtml","1室__1厅__1卫__60㎡__普通住宅__豪华装修__朝向南北__1层/6层","5000","　半年付","这是经过人工审核认证的房源，100%个人出租，真实待租。","朝阳","双井",NA,"2014-09-24","联系我时，请说是在58同城上看到的，谢谢！"
"http://bj.58.com/zufang/19400822164873x.shtml","太子峪  
                            	","14号线地铁张郭庄附近平房出租(个人) ","http://bj.58.com/zufang/19400822164873x.shtml","1室__1厅__14㎡__平房__精装修__朝向南__1层/1层","350","　押一付一","这是经过人工审核认证的房源，100%个人出租，真实待租。","丰台","长辛店",NA,"2014-09-24",""
"http://bj.58.com/zufang/19400838919816x.shtml","房山房山区窦店百草哇村，107国道北500...  
                            	","敞亮大三居新装修便宜租(个人) ","http://bj.58.com/zufang/19400838919816x.shtml","3室__2厅__1卫__113㎡__普通住宅__中等装修__朝向南北__5层/6层","1300","　半年付","这是经过人工审核认证的房源，100%个人出租，真实待租。","房山","窦店","华城家园","2014-09-24","采光超好的大三居，每个房间都有窗户，干净整洁，要求爱干净的人入住"
"http://bj.58.com/zufang/19373176710153x.shtml","土桥中街  
                            	","房主直租、免中介费,新房首次出租(个人) ","http://bj.58.com/zufang/19373176710153x.shtml","2室__1厅__1卫__80㎡__普通住宅__精装修__朝向南北__9层/20层","2200","　年付","这是经过人工审核认证的房源，100%个人出租，真实待租。","通州","土桥",NA,"2014-09-24","我是房东，我的房子在通州土桥华远，生活氛围很浓，附近有饭店，超市，离地铁很近。"
"http://bj.58.com/zufang/19040576968329x.shtml","
                                ","方城嘉苑 2室2厅1卫(个人) ","http://bj.58.com/zufang/19040576968329x.shtml","2室__2厅__1卫__90㎡","1100","无","这是经过人工审核认证的房源，100%个人出租，真实待租。","北京周边","固安",NA,"2014-09-24","紧邻固安汽车站，一墙之隔，，走正门最多200米。有943,828,849路公交车。屋内家具:双人床两个，洗衣机，电视机，天然气壁挂炉，可做饭，可洗澡。屋子很干净，南北通透。价格可小意。话不多说，有意电联13522619032"
"http://bj.58.com/zufang/19301237147400x.shtml","昌平南口主街，357车站旁  
                            	","玻璃厂宿舍精品两居。南北通透。拎包入住(个人) ","http://bj.58.com/zufang/19301237147400x.shtml","2室__1厅__1卫__66㎡__普通住宅__中等装修__朝向南北__2层/5层","1500","　押一付三","这是经过人工审核认证的房源，100%个人出租，真实待租。","昌平","南口","玻璃厂宿舍","2014-09-24","距昌平城区20分钟车程，距北京城区60分钟车程"
"http://bj.58.com/zufang/19321384335749x.shtml","床 ","西红门兴海家园二期两室一厅出租(个人) ","http://bj.58.com/zufang/19321384335749x.shtml","2室__1厅__1卫__80㎡__普通住宅__中等装修__朝向南__2层/6层","3200","　年付","这是经过人工审核认证的房源，100%个人出租，真实待租。",NA,NA,NA,"2014-09-24","拒绝中介，拒绝合租。"
"http://bj.58.com/zufang/19125025415560x.shtml","朝阳北苑路亚运村往北6公里  
                            	","个人北苑家园清友园宽敞明亮整租免中介(个人) ","http://bj.58.com/zufang/19125025415560x.shtml","3室__2厅__2卫__128㎡__普通住宅__中等装修__朝向西南__19层/25层","6800","　押二付三","这是经过人工审核认证的房源，100%个人出租，真实待租。","朝阳","北苑","北苑家园清友园","2014-09-24","联系我时，请说是在58同城上看到的，谢谢！"
"http://bj.58.com/zufang/19400736239873x.shtml","随时","商品房出租,全新专修(个人) ","http://bj.58.com/zufang/19400736239873x.shtml","2室__1厅__1卫__80㎡__普通住宅__简单装修__5层/7层","1800","无","这是经过人工审核认证的房源，100%个人出租，真实待租。","北京周边",NA,NA,"2014-09-24","商品房出租，全新装修，两房一厅一室一卫，基本家电齐全。"
